movie_name,ost_name,artist,year,mvdir,mvact,gerne,valence,acousticness,danceability,energy,loudness,tempo
Black Widow,Yelena Belova,Lorne Balfe,2021,케이트 쇼트랜드,"스칼릿 조핸슨, 데이빗 하버, 플로렌스 퓨, 레이첼 와이즈","액션, 모험, SF",0.0392,0.669,0.38,0.302,-14.186,100.007
Black Widow,The First Bite Is the Deepest,Lorne Balfe,2021,케이트 쇼트랜드,"스칼릿 조핸슨, 데이빗 하버, 플로렌스 퓨, 레이첼 와이즈","액션, 모험, SF",0.108,0.00368,0.569,0.858,-9.129,110.003
Black Widow,Red Rising,Lorne Balfe,2021,케이트 쇼트랜드,"스칼릿 조핸슨, 데이빗 하버, 플로렌스 퓨, 레이첼 와이즈","액션, 모험, SF",0.138,0.006,0.329,0.716,-10.42,92.327
Clifford the Big Red Dog,Room For You,Clifford The Big Red Dog,2021,월트 베커,"다비 캠프, 잭 화이트홀, 존 클리즈, 시에나 길로리","모험, 드라마, 가족",0.548,0.3,0.634,0.709,-6.478,103.959
Cruella,Call me Cruella,Florence + The Machine,2021,크레이그 질레스피,엠마 스톤,"드라마, 범죄, 코미디",0.246,0.0836,0.581,0.567,-9.645,100.994
Cruella,The Baroque Ball,Nicholas Britell,2021,크레이그 질레스피,엠마 스톤,"드라마, 범죄, 코미디",0.466,0.412,0.451,0.437,-7.904,82.544
Cruella,"Goodbye, Estella",Nicholas Britell,2021,크레이그 질레스피,엠마 스톤,"드라마, 범죄, 코미디",0.166,0.114,0.634,0.494,-10.157,99.042
Don't Look Up,Just Look Up (From Don’t Look Up),Ariana Grande,2021,아담 맥케이,"레오나르도 디카프리오, 제니퍼 로렌스, 롭 모건",코미디,0.152,0.216,0.566,0.581,-5.181,130.043
Don't Look Up,Don't Look Up,Nicholas Britell,2021,아담 맥케이,"레오나르도 디카프리오, 제니퍼 로렌스, 롭 모건",코미디,0.367,0.00713,0.587,0.559,-6.307,117.946
Don’t Breathe 2,Main On Ends,Roque Banos,2021,로도 사야구에즈,"스티븐 랭, 브렌단 섹스톤, 매들린 그레이스","범죄, 공포, 스릴러",0.41,0.000009,0.429,0.941,-7.106,162.618
Dune,Leaving Caladan,Hans Zimmer,2021,드니 빌뇌브,"티모시 샬라메, 레베카 퍼거슨, 오스카 아이삭","모험, 드라마, SF",0.036,0.00126,0.33,0.481,-11.645,120.456
Dune,Dream of Arrakis,Hans Zimmer,2021,드니 빌뇌브,"티모시 샬라메, 레베카 퍼거슨, 오스카 아이삭","모험, 드라마, SF",0.0384,0.28,0.289,0.206,-21.706,159.959
Dune,Eclipse (From Dune: Original Motion Picture Soundtrack) [Trailer Version],Hans Zimmer,2021,드니 빌뇌브,"티모시 샬라메, 레베카 퍼거슨, 오스카 아이삭","모험, 드라마, SF",0.222,0.00597,0.232,0.868,-6.4,136.136
Encanto,Surface Pressure,Jessica Darrow,2021,"자레드 부시, 바이론 하워드, 채리스 카스트로 스미스","다이앤 게레로, 스테파니 비트리즈, 윌머 발더라마, 렌지 펠리즈, 앤지 세페다",애니메이션,0.37,0.0174,0.65,0.584,-8.286,180.088
Encanto,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,2021,"자레드 부시, 바이론 하워드, 채리스 카스트로 스미스","다이앤 게레로, 스테파니 비트리즈, 윌머 발더라마, 렌지 펠리즈, 앤지 세페다",애니메이션,0.83,0.357,0.577,0.45,-8.516,205.863
Encanto,The Family Madrigal,Stephanie Beatriz,2021,"자레드 부시, 바이론 하워드, 채리스 카스트로 스미스","다이앤 게레로, 스테파니 비트리즈, 윌머 발더라마, 렌지 펠리즈, 앤지 세페다",애니메이션,0.556,0.12,0.594,0.628,-6.345,141.391
Escape Room: Tournament of Champions,Escape Room: Tournament of Champions (Brian Tyler and Kill The Noise Remix) (feat. Kill The Noise),Brian Tyler,2021,애덤 로비텔,"테일러 러셀, 로건 밀러","액션, 공포, 스릴러",0.308,0.00223,0.506,0.864,-7.225,171.905
